pipeline,field_occlusion_label,n,BLC_CV,relaxed_JAF_invalid_percent
AlphaPose-MotionBERT,none,50,0.410463451725446,1.3333333333333333
AlphaPose-MotionBERT,partial,50,0.4953509199481838,10.333333333333334
AlphaPose-MotionBERT,severe,100,0.5103865598433909,4.333333333333333
SAM-3DBody,none,50,0.14611625842129192,0.6666666666666666
SAM-3DBody,partial,50,0.1927857914318641,0.6666666666666666
SAM-3DBody,severe,100,0.1779988625397285,0.8333333333333334
