pipeline,field_occlusion_label,joint,mean_angle,min_angle,max_angle,invalid_percent
AlphaPose-MotionBERT,none,left_elbow,117.69330300962054,70.93044505303429,171.35408902638832,0.0
AlphaPose-MotionBERT,none,right_elbow,122.59087002378426,25.225025633829937,162.05130434123518,0.0
AlphaPose-MotionBERT,none,left_knee,140.38483867083298,25.386149026422018,175.55490479683337,4.0
AlphaPose-MotionBERT,none,right_knee,142.79654547135797,21.431857875130557,175.51623748825867,4.0
AlphaPose-MotionBERT,none,left_shoulder,37.778001534278054,11.84268240578211,83.61878165830485,0.0
AlphaPose-MotionBERT,none,right_shoulder,38.19079812817525,10.871796093962885,107.561040515702,0.0
AlphaPose-MotionBERT,partial,left_elbow,109.12622217207765,65.73424752492241,164.24709819908813,0.0
AlphaPose-MotionBERT,partial,right_elbow,121.72121585499848,59.852890667833314,171.19406088571634,0.0
AlphaPose-MotionBERT,partial,left_knee,81.84490139610865,23.473125981573922,178.99646938735742,30.0
AlphaPose-MotionBERT,partial,right_knee,79.4817968015551,18.99241148604025,173.59540289592366,26.0
AlphaPose-MotionBERT,partial,left_shoulder,44.68279862555435,8.511633249146161,96.77271684175311,2.0
AlphaPose-MotionBERT,partial,right_shoulder,46.5950892791516,9.506721793254645,115.99056324415207,4.0
AlphaPose-MotionBERT,severe_detected,left_elbow,127.16877636120812,47.382071776946425,163.00453377197778,0.0
AlphaPose-MotionBERT,severe_detected,right_elbow,106.6735908479221,49.306726696129076,176.86327373964227,2.0
AlphaPose-MotionBERT,severe_detected,left_knee,142.21302306675076,35.91865149777108,176.8315396902157,4.0
AlphaPose-MotionBERT,severe_detected,right_knee,132.2679256857857,37.81083492687747,175.09391609436605,2.0
AlphaPose-MotionBERT,severe_detected,left_shoulder,41.334531780099184,11.024575845543595,76.92911424749713,0.0
AlphaPose-MotionBERT,severe_detected,right_shoulder,54.79869645875646,22.880684747258755,86.43675718865836,0.0
AlphaPose-MotionBERT,severe_detection_failure_temporal_bbox,left_elbow,115.43754781250911,65.00141248079323,176.55560447240643,2.0
AlphaPose-MotionBERT,severe_detection_failure_temporal_bbox,right_elbow,113.10781118738169,46.959795534836346,175.44907858369936,2.0
AlphaPose-MotionBERT,severe_detection_failure_temporal_bbox,left_knee,98.71783271423881,26.218234878617764,178.21276938255178,16.0
AlphaPose-MotionBERT,severe_detection_failure_temporal_bbox,right_knee,99.20249413249067,6.846471266463696,176.7602857351105,22.0
AlphaPose-MotionBERT,severe_detection_failure_temporal_bbox,left_shoulder,46.578680400215916,16.052342851344278,81.06320296400204,0.0
AlphaPose-MotionBERT,severe_detection_failure_temporal_bbox,right_shoulder,54.2086362509712,5.91145002778011,106.00331805650652,2.0
SAM-3DBody,none,left_elbow,107.53825416564942,54.94188690185547,140.47744750976562,0.0
SAM-3DBody,none,right_elbow,105.50194801330566,56.23136520385742,149.44302368164062,0.0
SAM-3DBody,none,left_knee,97.99891395568848,62.20412826538086,114.06556701660156,0.0
SAM-3DBody,none,right_knee,94.46446685791015,73.25636291503906,121.75444030761719,0.0
SAM-3DBody,none,left_shoulder,34.58756502151489,8.68326473236084,95.34732818603516,4.0
SAM-3DBody,none,right_shoulder,34.92334951400757,11.353710174560547,96.23524475097656,0.0
SAM-3DBody,partial,left_elbow,90.32749382019043,52.6278076171875,139.11143493652344,0.0
SAM-3DBody,partial,right_elbow,88.91174110412598,43.17597198486328,127.06776428222656,0.0
SAM-3DBody,partial,left_knee,82.88567161560059,58.4307746887207,108.95255279541016,0.0
SAM-3DBody,partial,right_knee,100.16741958618164,73.91680908203125,122.39706420898438,0.0
SAM-3DBody,partial,left_shoulder,39.224225935935976,3.233616590499878,94.37394714355469,2.0
SAM-3DBody,partial,right_shoulder,39.72836847305298,9.34380054473877,118.934814453125,2.0
SAM-3DBody,severe_detected,left_elbow,102.79723068237304,69.16583251953125,136.745849609375,0.0
SAM-3DBody,severe_detected,right_elbow,98.93948081970215,63.39921188354492,143.3681640625,0.0
SAM-3DBody,severe_detected,left_knee,97.35281951904297,67.90984344482422,102.30611419677734,0.0
SAM-3DBody,severe_detected,right_knee,100.97171585083008,84.1958999633789,115.15767669677734,0.0
SAM-3DBody,severe_detected,left_shoulder,37.08838175773621,7.862396717071533,84.44856262207031,8.0
SAM-3DBody,severe_detected,right_shoulder,46.00693813323974,21.088869094848633,76.77703857421875,0.0
SAM-3DBody,severe_detection_failure_temporal_bbox,left_elbow,94.62681282043457,63.68032455444336,137.34329223632812,0.0
SAM-3DBody,severe_detection_failure_temporal_bbox,right_elbow,88.8031248474121,54.99293518066406,129.9099578857422,0.0
SAM-3DBody,severe_detection_failure_temporal_bbox,left_knee,88.33221130371093,60.9521484375,118.05113983154297,0.0
SAM-3DBody,severe_detection_failure_temporal_bbox,right_knee,98.90329116821289,78.64929962158203,120.116943359375,0.0
SAM-3DBody,severe_detection_failure_temporal_bbox,left_shoulder,38.6053637599945,7.211751461029053,78.17576599121094,2.0
SAM-3DBody,severe_detection_failure_temporal_bbox,right_shoulder,43.27491722106934,10.015453338623047,97.64627838134766,0.0
