pipeline,field_occlusion_label,n,BLC_CV,JAF_invalid_percent_relaxed
AlphaPose-MotionBERT,none,50,0.410463451725446,1.3333333333333333
AlphaPose-MotionBERT,partial,50,0.4953509199481838,10.333333333333334
AlphaPose-MotionBERT,severe_detected,50,0.3800434164840321,1.3333333333333333
AlphaPose-MotionBERT,severe_detection_failure_temporal_bbox,50,0.5453710579052015,7.333333333333333
SAM-3DBody,none,50,0.14611625842129192,0.6666666666666666
SAM-3DBody,partial,50,0.1927857914318641,0.6666666666666666
SAM-3DBody,severe_detected,50,0.13597740263988575,1.3333333333333333
SAM-3DBody,severe_detection_failure_temporal_bbox,50,0.19241967502360544,0.3333333333333333
