input_condition,report_file_count,risk_summary_fleiss_kappa,posture_risk_fleiss_kappa,duration_risk_fleiss_kappa,repetition_risk_fleiss_kappa,key_factor_accuracy,key_factor_precision,key_factor_recall,key_factor_f1,key_factor_n
module2_only,40,1.0,1.0,1.0,,0.7,0.9215,0.7184,0.8073,280
module2_rgb,40,0.959,1.0,1.0,0.7222,0.7071,0.9223,0.7265,0.8128,280
