pipeline,sample_id,sequence,frame_number,field_occlusion_label,auto_severity,status,mean_bone_length,left_right_bone_symmetry_error,joint_angle_feasibility
SAM-3DBody,field_all_fb_00209,MansoryBrickLaying_00,208,partial,mild,ok,0.28164144590934603,0.011391996580582814,1.0
SAM-3DBody,field_all_fb_04218,MansoryBrickLaying_01,2555,partial,mild,ok,0.2820091557870124,0.00957553630995167,1.0
SAM-3DBody,field_all_fb_05851,MansoryBrickLaying_02,360,partial,mild,ok,0.2793547497052497,0.0058629232025377296,1.0
SAM-3DBody,field_all_fb_06464,MansoryBrickLaying_02,973,partial,mild,ok,0.2830703645942091,0.01051119785738601,1.0
SAM-3DBody,field_all_fb_07023,MansoryBrickLaying_02,1532,partial,mild,ok,0.28488854864576474,0.005930624609695845,1.0
SAM-3DBody,field_all_fb_07325,MansoryBrickLaying_02,1834,partial,mild,ok,0.27950802924781687,0.008854438622570182,1.0
SAM-3DBody,field_all_fb_07598,MansoryBrickLaying_02,2107,partial,moderate,ok,0.2792547826473459,0.01293533994992978,1.0
SAM-3DBody,field_all_fb_08603,MansoryBrickLaying_02,3112,partial,mild,ok,0.2721447527649604,0.007597948749400424,1.0
SAM-3DBody,field_all_fb_10809,MansoryBrickLaying_02,5318,partial,mild,ok,0.280678672802902,0.006869456709988588,1.0
SAM-3DBody,field_all_fb_13083,MansoryCement_02,335,partial,mild,ok,0.2625868994725217,0.0041747848375291675,1.0
SAM-3DBody,field_all_fb_15693,MansoryCement_02,2945,partial,mild,ok,0.24926102634461914,0.0046170546090973505,1.0
SAM-3DBody,field_all_fb_18214,RebarPlacement_00,354,partial,mild,ok,0.2795066079541468,0.006361451416078318,1.0
SAM-3DBody,field_all_fb_18847,RebarPlacement_00,987,partial,mild,ok,0.27103895197083916,0.012708593579242889,1.0
SAM-3DBody,field_all_fb_19436,RebarPlacement_00,1576,partial,moderate,ok,0.2855387512272386,0.015137621416058906,1.0
SAM-3DBody,field_all_fb_20015,RebarPlacement_00,2155,partial,mild,ok,0.2837919120944207,0.032888861621149616,1.0
SAM-3DBody,field_all_fb_20414,RebarPlacement_00,2554,partial,mild,ok,0.27930608240474714,0.008680194330249495,1.0
SAM-3DBody,field_all_fb_20588,RebarPlacement_00,2728,partial,mild,ok,0.28269720235830087,0.014925218982212163,1.0
SAM-3DBody,field_all_fb_20762,RebarPlacement_00,2902,partial,mild,ok,0.2780147477266219,0.00937278876002474,1.0
SAM-3DBody,field_all_fb_20964,RebarPlacement_00,3104,partial,mild,ok,0.2799329126677004,0.01031193392823279,1.0
