interval_id,start_frame,end_frame,start_sec,end_sec,dur_s
1,0,101,0.0,3.4,3.4
2,573,618,19.1,20.6,1.5
3,780,837,26.0,27.9,1.9
4,1263,1334,42.1,44.5,2.4
5,1531,1642,51.0,54.7,3.7
6,1858,1889,61.9,63.0,1.1
7,2309,2362,77.0,78.7,1.8
8,2590,2707,86.3,90.2,3.9
9,2908,3051,96.9,101.7,4.8
10,3513,3549,117.1,118.3,1.2
11,3768,3827,125.6,127.6,2.0
