trunk,trunk,trunk,trunk,trunk,trunk,trunk,trunk,trunk,trunk,trunk,trunk,trunk,trunk,trunk,upperarm,upperarm,upperarm,upperarm,upperarm,upperarm,upperarm,upperarm,upperarm,upperarm,upperarm,upperarm,upperarm,upperarm,upperarm,upperarm,upperarm,upperarm,upperarm,upperarm,lower arm,lower arm,lower arm,lower arm,lower arm,lower arm,lower arm,lower arm,lower arm,lower arm,knee,knee,knee,knee,knee,knee,knee,knee,knee,knee,leg_support,leg_support,leg_support,leg_support,leg_support
flexion,flexion,flexion,flexion,flexion,bending,bending,bending,bending,bending,twisting,twisting,twisting,twisting,twisting,left_flexion,left_flexion,left_flexion,left_flexion,left_flexion,right_flexion,right_flexion,right_flexion,right_flexion,right_flexion,left_abduction,left_abduction,left_abduction,left_abduction,left_abduction,right_abduction,right_abduction,right_abduction,right_abduction,right_abduction,left_flexion,left_flexion,left_flexion,left_flexion,left_flexion,right_flexion,right_flexion,right_flexion,right_flexion,right_flexion,left_flexion,left_flexion,left_flexion,left_flexion,left_flexion,right_flexion,right_flexion,right_flexion,right_flexion,right_flexion,ratio,ratio,ratio,ratio,ratio
start_frame,end_frame,angle,duration,stop_sign,start_frame,end_frame,angle,duration,stop_sign,start_frame,end_frame,angle,duration,stop_sign,start_frame,end_frame,angle,duration,stop_sign,start_frame,end_frame,angle,duration,stop_sign,start_frame,end_frame,angle,duration,stop_sign,start_frame,end_frame,angle,duration,stop_sign,start_frame,end_frame,angle,duration,stop_sign,start_frame,end_frame,angle,duration,stop_sign,start_frame,end_frame,angle,duration,stop_sign,start_frame,end_frame,angle,duration,stop_sign,start_frame,end_frame,angle,duration,stop_sign
0.0,1138.0,31.375493373442495,37.96666666666667,sd1.7,,,,,,,,,,,0,225,30.855442860358483,7.533333333333333,sd_inf,0.0,254.0,27.625727816488883,8.5,sd1.6,,,,,,,,,,,892.0,1069.0,52.70830865886156,5.933333333333334,sd1.6,,,,,,0.0,1154.0,156.15850570226416,38.5,sd1.7,0.0,1217.0,138.63975630088675,40.6,sd1.3,0.0,847.0,0.6066901783552127,28.266666666666666,sd1.5
1171.0,1548.0,36.04885640358172,12.6,sd1.1,,,,,,,,,,,560,731,24.34992086716144,5.733333333333333,sd_inf,277.0,665.0,29.399992129064803,12.966666666666667,sd1.1,,,,,,,,,,,,,,,,,,,,,1263.0,1453.0,155.4393525292918,6.366666666666666,sd1.2,1238.0,1448.0,138.3922663832991,7.033333333333333,sd2.0,917.0,1144.0,0.5847611055818042,7.6,sd2.2
1572.0,1917.0,43.557993449907414,11.533333333333333,EndOfFile,,,,,,,,,,,883,1136,51.083517948635915,8.466666666666667,sd6.0,947.0,1143.0,41.57375382498459,6.566666666666666,sd_inf,,,,,,,,,,,,,,,,,,,,,1585.0,1917.0,153.00688686929047,11.1,EndOfFile,1623.0,1917.0,137.96524567124652,9.833333333333334,EndOfFile,1702.0,1917.0,0.5974994489619259,7.2,EndOfFile
,,,,,,,,,,,,,,,1278,1491,63.80452470714264,7.133333333333334,sd_inf,1619.0,1784.0,62.97537673601403,5.533333333333333,sd1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1612,1792,67.26808574093128,6.033333333333333,sd1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
