frame,Neck,Trunk,Leg,UpperArm,LowerArm,Wrist,A,B,C,Final
143,2,3,4,2,1,1,7,1,7,7
144,2,3,4,2,2,1,7,2,7,7
145,2,3,4,2,2,1,7,2,7,7
146,2,3,4,2,1,1,7,1,7,7
147,2,3,4,2,1,1,7,1,7,7
148,2,3,4,2,2,1,7,2,7,7
149,2,3,4,2,1,1,7,1,7,7
150,2,3,4,2,1,1,7,1,7,7
151,2,3,4,2,1,1,7,1,7,7
152,2,3,4,2,2,1,7,2,7,7
153,2,3,4,2,1,1,7,1,7,7
154,2,3,4,2,2,1,7,2,7,7
155,2,3,4,2,1,1,7,1,7,7
156,2,3,4,2,1,1,7,1,7,7
157,2,3,4,2,1,1,7,1,7,7
158,2,3,4,2,1,1,7,1,7,7
159,2,3,4,2,1,1,7,1,7,7
160,2,3,4,2,2,1,7,2,7,7
161,2,3,4,2,1,1,7,1,7,7
162,2,3,4,2,2,1,7,2,7,7
163,2,3,4,2,2,1,7,2,7,7
164,2,3,4,2,1,1,7,1,7,7
165,2,3,4,2,1,1,7,1,7,7
166,2,3,4,2,1,1,7,1,7,7
167,2,3,4,2,2,1,7,2,7,7
168,2,3,4,2,2,1,7,2,7,7
169,2,3,4,2,2,1,7,2,7,7
170,2,3,4,2,2,1,7,2,7,7
171,2,3,4,2,2,1,7,2,7,7
172,2,3,4,2,2,1,7,2,7,7
173,2,3,4,2,2,1,7,2,7,7
174,2,3,4,2,2,1,7,2,7,7
175,2,3,4,2,2,1,7,2,7,7
176,2,3,4,2,2,1,7,2,7,7
177,2,3,4,2,2,1,7,2,7,7
178,2,3,4,2,2,1,7,2,7,7
179,2,3,4,2,2,1,7,2,7,7
180,2,3,4,2,2,1,7,2,7,7
181,2,3,4,2,2,1,7,2,7,7
182,2,3,4,2,2,1,7,2,7,7
183,2,3,4,2,2,1,7,2,7,7
184,2,3,4,2,2,1,7,2,7,7
185,2,3,4,2,2,1,7,2,7,7
186,2,3,4,2,2,1,7,2,7,7
187,2,3,4,2,2,1,7,2,7,7
188,2,3,4,2,2,1,7,2,7,7
189,2,3,4,2,2,1,7,2,7,7
190,2,3,4,2,2,1,7,2,7,7
191,2,3,4,2,2,1,7,2,7,7
192,2,3,4,2,2,1,7,2,7,7
193,2,3,4,2,2,1,7,2,7,7
194,2,3,4,2,2,1,7,2,7,7
195,2,3,4,2,2,1,7,2,7,7
196,2,3,4,2,2,1,7,2,7,7
197,2,3,4,2,2,1,7,2,7,7
198,2,3,4,2,2,1,7,2,7,7
199,2,3,4,2,2,1,7,2,7,7
200,2,3,4,2,2,1,7,2,7,7
201,2,3,4,2,2,1,7,2,7,7
202,2,3,4,2,2,1,7,2,7,7
203,2,3,4,2,2,1,7,2,7,7
204,2,3,4,2,2,1,7,2,7,7
205,2,3,4,2,2,1,7,2,7,7
206,2,3,4,2,2,1,7,2,7,7
207,2,3,4,2,2,1,7,2,7,7
208,2,3,4,2,2,1,7,2,7,7
209,2,3,4,2,2,1,7,2,7,7
210,2,3,4,2,2,1,7,2,7,7
211,2,3,4,2,2,1,7,2,7,7
212,2,3,4,2,2,1,7,2,7,7
213,2,3,4,2,2,1,7,2,7,7
214,2,3,4,2,2,1,7,2,7,7
215,2,3,4,2,2,1,7,2,7,7
216,2,3,4,2,2,1,7,2,7,7
217,2,3,4,2,2,1,7,2,7,7
218,2,3,4,2,2,1,7,2,7,7
219,2,3,4,2,2,1,7,2,7,7
220,2,3,4,2,2,1,7,2,7,7
221,2,3,4,2,2,1,7,2,7,7
222,2,3,4,2,2,1,7,2,7,7
223,2,3,4,2,2,1,7,2,7,7
224,2,3,4,2,2,1,7,2,7,7
225,2,3,4,2,2,1,7,2,7,7
226,2,3,4,2,2,1,7,2,7,7
227,2,3,4,2,2,1,7,2,7,7
228,2,3,4,2,2,1,7,2,7,7
229,2,3,4,2,2,1,7,2,7,7
230,2,3,4,2,2,1,7,2,7,7
231,2,3,4,2,2,1,7,2,7,7
232,2,3,4,2,2,1,7,2,7,7
233,2,3,4,2,2,1,7,2,7,7
234,2,3,4,2,2,1,7,2,7,7
235,2,3,4,2,2,1,7,2,7,7
236,2,3,4,2,2,1,7,2,7,7
237,2,3,4,2,2,1,7,2,7,7
238,2,3,4,2,2,1,7,2,7,7
239,2,3,4,2,2,1,7,2,7,7
240,3,3,4,2,2,1,8,2,8,8
241,3,3,4,2,2,2,8,3,8,8
242,3,3,4,2,2,2,8,3,8,8
243,3,3,4,2,2,2,8,3,8,8
244,3,3,4,2,2,3,8,4,9,9
245,3,3,4,2,2,2,8,3,8,8
246,2,3,4,2,2,2,7,3,7,7
247,2,3,4,2,2,2,7,3,7,7
248,2,3,4,2,2,2,7,3,7,7
249,2,3,4,2,2,2,7,3,7,7
250,2,3,4,2,2,2,7,3,7,7
251,2,3,4,2,2,2,7,3,7,7
252,2,3,4,2,2,2,7,3,7,7
253,2,3,4,2,1,2,7,2,7,7
254,2,3,4,2,1,2,7,2,7,7
255,2,3,4,2,1,2,7,2,7,7
256,2,3,4,2,1,2,7,2,7,7
257,2,3,4,2,1,2,7,2,7,7
258,2,3,4,2,1,2,7,2,7,7
259,2,3,4,2,1,2,7,2,7,7
260,2,3,4,2,1,2,7,2,7,7
261,2,3,4,2,1,2,7,2,7,7
262,2,3,4,2,1,2,7,2,7,7
263,2,3,4,2,1,2,7,2,7,7
264,2,3,4,2,1,2,7,2,7,7
265,2,3,4,2,1,2,7,2,7,7
266,2,3,4,2,1,2,7,2,7,7
267,2,3,4,2,1,2,7,2,7,7
268,2,3,4,2,1,2,7,2,7,7
269,2,3,4,2,1,2,7,2,7,7
270,2,3,4,2,1,2,7,2,7,7
271,2,3,4,2,1,2,7,2,7,7
272,2,3,4,2,2,2,7,3,7,7
273,2,3,4,2,2,2,7,3,7,7
274,2,3,4,2,2,2,7,3,7,7
275,2,3,4,2,1,2,7,2,7,7
276,2,3,4,2,1,2,7,2,7,7
277,2,3,4,2,1,2,7,2,7,7
278,2,3,4,2,1,2,7,2,7,7
279,2,3,4,2,1,2,7,2,7,7
280,2,3,4,2,1,2,7,2,7,7
281,2,3,4,2,2,2,7,3,7,7
282,2,3,4,2,2,2,7,3,7,7
283,2,3,4,2,2,2,7,3,7,7
284,2,3,4,2,2,2,7,3,7,7
285,2,3,4,2,2,2,7,3,7,7
286,2,3,4,2,2,2,7,3,7,7
287,2,3,4,2,2,2,7,3,7,7
