,neck,neck,neck,trunk,trunk,trunk,upperarm,upperarm,upperarm,upperarm,lower arm,lower arm,wrist,wrist,wrist,wrist,knee,knee,leg_support
,flexion,bending,twisting,flexion,bending,twisting,left_flexion,right_flexion,left_abduction,right_abduction,left_flexion,right_flexion,left_flexion,right_flexion,left_twisting,right_twisting,left_flexion,right_flexion,ratio
frame,,,,,,,,,,,,,,,,,,,
0,23.845970770615864,-0.12632056868922348,5.77353320227893,22.557533402512924,-2.6740460683429035,7.376420219186333,23.45721160662923,23.703957950766792,36.205139674462544,21.100377351406223,14.69175039379931,-13.278229404726417,12.015564526514419,14.614105571315838,27.52203113366356,40.31383156749307,158.52247567906312,137.98266445965612,0.6325211429676294
1,23.770169630014138,0.0468158227005091,5.833881588699198,22.944068726519298,-2.767406461438611,7.681420476361568,24.264918327118806,25.79511458403799,36.480394757840074,20.835131894343988,15.114755817192034,-12.641388963156189,12.122562888132823,15.281917300231273,27.313468292275658,40.33786641690341,158.8886713364241,138.44462399613133,0.6325246083552711
2,24.325935916278354,0.10741391089214858,6.318094432091077,22.723872502219457,-2.7881610018371816,7.97715416369695,24.255373449225146,25.672099036264314,36.44034024933812,20.834966821137073,16.58320488995335,-14.576331854953224,12.771906998635393,16.070545348662993,26.249218148635975,41.024093655652464,158.41102685508267,138.1199555609015,0.6311829161213761
3,24.914505709005923,-0.3524968966719513,5.723866201306811,22.62917292857306,-2.702072128057182,7.74099591425697,24.256600236802896,26.123618649031272,35.80569706000671,21.172056682082143,16.69000137402726,-13.297033000045545,12.741742861329266,15.806845194774015,25.875395235996777,40.45530713351897,157.73982115894867,137.76424653402555,0.6278963593389238
4,24.89140513328755,0.19373181479338086,5.004516542895793,22.827819700353686,-2.498879807031969,7.55626093041919,23.289409676584512,25.711087356911463,35.74178122254297,21.331618639167644,15.307885139885244,-15.08330282859815,12.531177471986055,15.642065589328457,25.993257784147644,41.634993029049284,158.12386596634994,137.73166597641648,0.6301642616877434
5,25.73679784818634,-0.5531721094500455,4.607918311810805,22.78044204316959,-2.6293120902895026,7.364069534979706,22.4586283084966,25.04921060849604,35.34871459860949,21.628220512354787,15.206212427250591,-14.069915627566118,12.757889081636685,15.591039095352135,25.81846672503187,41.05981507825071,157.65245768350542,137.70972616947324,0.6271869199558889
6,26.02541385347881,-0.010261166428705337,4.522037909368676,22.845453427076155,-2.8204605734440236,6.671928284752763,19.896077985774383,23.092846427705908,33.97086412280318,21.939220915271335,10.3165322573646,-14.937975177233128,12.305549548483123,15.45753911590911,28.373135274579113,41.71946922125886,157.04615028773102,138.05540587541174,0.6226725380296535
7,26.264443589317935,0.12038479753526588,4.20381754034303,22.845443767088945,-2.5946763287000607,6.107515983078931,20.269711866884435,25.199749255456766,33.7261899523419,21.67190404006807,10.367654926154401,-11.77994130435161,12.527061684839193,15.440827223766478,28.247415450019375,40.88699790644708,156.61021167389163,138.10192001094683,0.618552389610556
8,28.00470346888723,0.43945457737574145,5.091939136611591,23.0394703714061,-2.6818597138655775,6.77526513526742,19.856678481941273,24.837801240934212,33.13764254523625,21.273995177308876,7.8254791744603125,-14.519344901500503,12.933610544745715,16.439084436113678,29.509360014750683,42.233337191715506,157.90268007290666,137.94243910588133,0.6275663450795481
9,28.442506533354873,0.28185380321126274,4.798412598407766,22.937805192197782,-2.71231534351746,6.443123288715306,20.045911076276298,23.084916652693636,32.89264181138289,22.37985843832935,8.151429782778166,-15.695319956409648,12.300116216754137,15.64360441265815,29.58806638826711,41.88609020133734,156.92153291287303,138.31413763532373,0.6194315151344572
10,29.996746395088323,0.28297748367685926,4.068069941189081,22.22840085306591,-2.5065140706037994,5.983712338565587,18.57669435044241,23.55298571455026,32.77855434817293,22.171970756530214,9.228493819781818,-15.514215552964743,12.453824502459355,15.91814500131569,28.76187917567553,42.54859915190997,157.0096359738727,138.17811836940916,0.6202355636845286
11,31.03469177907249,0.22100372655741296,4.136635899174534,23.051045089443722,-2.6866420740014973,6.316771322117052,21.770529205798496,24.386192409697145,33.31816664847496,21.747402030095287,12.73739412844428,-14.57585696984566,13.420487773447096,15.912664787552528,26.23308109245376,40.8108603884765,157.58486535262136,138.0543486830001,0.6257474492994723
12,31.449278411822775,0.6699360229989963,3.512130600685966,22.528647566467825,-2.5036350615892076,6.136424677418164,19.42367092164511,23.885633545056905,32.3223447906133,22.38382451416406,7.9053629623020925,-13.52569337506705,13.02616598661203,16.035957174124658,29.338571591101186,41.5335987819841,157.94519354440482,137.83972868509375,0.6275592735808855
13,32.750991730922934,0.8599409882016857,2.889554468837543,22.10635473906338,-2.4711436683747365,5.797693022054746,19.007850066838657,26.409200639683107,32.619083449092884,21.860202276114236,9.350816033792839,-15.632107145285431,13.727259788005167,17.363420146305856,28.249069015736083,42.46037035781113,158.5384436500274,137.40493861093583,0.6332514902404434
14,33.372920880794595,0.3558351534504567,2.969298818666879,22.057671744359183,-2.605806793245989,6.117969163161027,21.69755492227283,27.79456834699053,33.526009045806575,22.16098316178764,11.102227096954138,-14.185812066208314,13.652615146258446,16.947809533882598,27.39065841086574,40.86822561494722,157.9585430307488,136.77571967403466,0.6314019945810309
15,32.64535842438505,0.653384761957895,3.4099036374676164,22.340654510012737,-2.3411893924305645,6.112575917067787,20.033816271291172,24.803932197332458,32.28642381981378,22.24816949460694,8.497029498564302,-15.473878140443588,13.220570772876242,17.425016620869076,28.786600515811614,43.69023295441505,158.4025683288403,137.48116866177654,0.6293519838633563
16,32.703559722505034,0.5936865940036569,3.45385483394525,22.53736283724662,-2.419626724376485,6.274811567126345,19.60512706934901,24.48469339584841,32.07910759446368,22.3594351242173,8.261095444991255,-17.058104810309572,13.399036081573557,18.19468142604353,28.433347926468528,44.350117960500896,157.22794064470864,137.5215411855125,0.6207959801850192
17,33.50548946553957,0.9541018443196236,2.4024621797214314,22.38112493469199,-2.789089951913965,6.086040437368822,20.4468205380046,25.647068118969102,32.94731975156532,22.992489412438545,10.00531050739147,-16.55574643198746,13.460380225909237,16.217964179606714,26.661329707088683,39.32511958154285,154.96731444186065,134.56713380384753,0.6203710880222757
18,33.08228941998614,0.9368128622416947,1.887859913517033,22.51015769698304,-2.8015475597175197,6.069238019718153,18.983151906443354,24.761035287951657,32.6706740155081,23.373600355197652,7.008472637070483,-17.560605198492027,13.382146899833185,16.004917238548312,27.79835513778174,39.24512767204659,154.51471714353656,135.18401515213606,0.6148420955586046
19,33.33388215706621,0.4722741671294983,2.938749281143351,22.51107070014329,-2.608469543000041,6.049098766112155,19.170544396120363,24.526474413082298,32.42633341801903,22.913016408073517,6.710403730522117,-17.871779476460745,14.318524927384274,17.360645788173017,29.21747047614224,42.34165597897517,156.09551933896554,136.84374011693927,0.6174187302869064
20,32.93369466839165,0.42291983660663846,2.824469927153887,22.676451582375524,-2.6465129402104424,5.738006233054005,18.90055164678786,24.432624322517782,32.2863155147525,22.962691829871815,7.575903694173817,-15.025485297649922,14.286261004970992,16.893746444375175,28.81078301697218,41.29564384074443,156.93226398601718,136.5526666847372,0.6240059305611808
